"AREA_TYPE","GLOBALID","PM_DISTRICT_ID","PM_DISTRICT_NAME","SDE_ID","shape"
"-",,"40.0","Balboa","1","MULTIPOLYGON (((-122.46074 37.777645, -122.46069 37.777096, -122.46517 37.7769, -122.46522 37.77744, -122.46074 37.777645)))"
"-",,"34.0","Bayview","52","MULTIPOLYGON (((-122.3908 37.7317, -122.39167 37.729992, -122.39293 37.73033, -122.39299 37.73027, -122.39248 37.73282, -122.392105 37.733604, -122.39202 37.733776, -122.3905 37.73699, -122.38922 37.736366, -122.39042 37.732834, -122.390465 37.732693, -122.390686 37.732044, -122.39073 37.731895, -122.3908 37.7317)))"
"-",,"30.0","Bernal Hts","14","MULTIPOLYGON (((-122.418915 37.738804, -122.41873 37.7399, -122.41297 37.7394, -122.41321 37.737774, -122.418915 37.738804)), ((-122.41873 37.7399, -122.41882 37.739906, -122.41873 37.73991, -122.41873 37.7399)))"
"-",,"53.0","CCSF","47","MULTIPOLYGON (((-122.438965 37.72036, -122.44258 37.71667, -122.446304 37.719677, -122.44854 37.716747, -122.44924 37.717365, -122.44896 37.720795, -122.452995 37.72245, -122.45265 37.723614, -122.45617 37.724525, -122.45571 37.72846, -122.443184 37.728477, -122.44031 37.72763, -122.43617 37.72602, -122.43565 37.725815, -122.435234 37.725655, -122.43526 37.725628, -122.435326 37.72555, -122.43575 37.725063, -122.43582 37.724987, -122.43625 37.724503, -122.43631 37.724438, -122.4364 37.72433, -122.437325 37.72417, -122.4379 37.72322, -122.438965 37.72036)))"
"-",,"44.0","Central Waterfront","20","MULTIPOLYGON (((-122.3925 37.763798, -122.38794 37.764095, -122.387886 37.76353, -122.38664 37.763603, -122.37734 37.766453, -122.37432 37.748093, -122.39052 37.74729, -122.39301 37.74828, -122.39151 37.752472, -122.3925 37.763798)))"
"Pilot",,"3.0","Civic Center","35","MULTIPOLYGON (((-122.41575 37.78346, -122.41558 37.78267, -122.415565 37.78261, -122.41538 37.78174, -122.41536 37.781605, -122.41519 37.7808, -122.41516 37.78068, -122.41475 37.778717, -122.421776 37.773155, -122.42195 37.773132, -122.42216 37.7731, -122.422325 37.773083, -122.422386 37.773075, -122.4224 37.773193, -122.42254 37.773987, -122.425896 37.77359, -122.4268 37.77845, -122.4235 37.778847, -122.42403 37.781437, -122.424034 37.781475, -122.42405 37.781555, -122.42406 37.78157, -122.424255 37.782562, -122.42421 37.782566, -122.42404 37.78259, -122.42109 37.783, -122.421 37.782974, -122.420975 37.782967, -122.420845 37.78293, -122.42073 37.783005, -122.420685 37.78303, -122.42065 37.783054, -122.41928 37.78322, -122.41911 37.783237, -122.41772 37.7834, -122.41752 37.78327, -122.417366 37.783497, -122.41609 37.78364, -122.41575 37.78346)))"
"-",,"18.0","Divisadero North","2","MULTIPOLYGON (((-122.44186 37.78185, -122.443886 37.781662, -122.44456 37.7824, -122.44462 37.783127, -122.44462 37.783165, -122.441536 37.783566, -122.44242 37.78818, -122.43864 37.78866, -122.43781 37.784626, -122.43781 37.784626, -122.43778 37.784492, -122.43767 37.7839, -122.43759 37.783558, -122.43736 37.782402, -122.44043 37.782024, -122.44186 37.78185)))"
"-",,"17.0","Divisadero South","40","MULTIPOLYGON (((-122.43581 37.771015, -122.43794 37.770744, -122.43844 37.772938, -122.43847 37.77307, -122.438644 37.77386, -122.438675 37.77399, -122.43868 37.774048, -122.43886 37.774803, -122.43888 37.774906, -122.439064 37.775734, -122.43909 37.77584, -122.43927 37.77665, -122.4393 37.776783, -122.439545 37.777874, -122.4395 37.777916, -122.43737 37.77815, -122.43713 37.777058, -122.4371 37.776924, -122.43672 37.775185, -122.4367 37.775078, -122.43652 37.77427, -122.43649 37.774136, -122.43632 37.773342, -122.43629 37.77321, -122.43581 37.771015)))"
"Pilot",,"1.0","Downtown","32","MULTIPOLYGON (((-122.396965 37.79741, -122.3968 37.79658, -122.39679 37.796574, -122.39603 37.796703, -122.39594 37.796646, -122.39577 37.79654, -122.39565 37.79647, -122.39559 37.796417, -122.39532 37.79619, -122.39517 37.795967, -122.39493 37.795586, -122.39467 37.795193, -122.394615 37.795105, -122.39432 37.79479, -122.39385 37.794456, -122.39352 37.794266, -122.39303 37.793987, -122.39275 37.79374, -122.39128 37.792435, -122.39129 37.792435, -122.39167 37.79214, -122.391815 37.792034, -122.39185 37.792004, -122.39185 37.792, -122.39181 37.791965, -122.39167 37.79185, -122.390396 37.79084, -122.390396 37.790836, -122.391045 37.790157, -122.39107 37.790115, -122.39117 37.790085, -122.3919 37.789516, -122.39203 37.789417, -122.39271 37.78889, -122.392784 37.78874, -122.39297 37.78867, -122.39364 37.78815, -122.39379 37.788025, -122.394455 37.78751, -122.39446 37.78746, -122.39463 37.78732, -122.39481 37.78733, -122.39481 37.787327, -122.39681 37.78573, -122.39689 37.785667, -122.39694 37.785625, -122.39789 37.784866, -122.39783 37.78481, -122.397995 37.784676, -122.397995 37.784676, -122.398026 37.78469, -122.398026 37.78469, -122.39899 37.78395, -122.39914 37.78383, -122.40124 37.782207, -122.4014 37.782085, -122.40329 37.780624, -122.4035 37.7802, -122.40352 37.780186, -122.40358 37.78024, -122.404915 37.781265, -122.404915 37.78127, -122.40492 37.78138, -122.40492 37.781384, -122.405075 37.781506, -122.40523 37.781513, -122.40654 37.782578, -122.40666 37.782677, -122.40812 37.78385, -122.40827 37.783978, -122.40828 37.78398, -122.4078 37.78443, -122.40799 37.785416, -122.40802 37.785534, -122.40818 37.78635, -122.408195 37.786457, -122.40836 37.787285, -122.40839 37.78739, -122.40855 37.788223, -122.40857 37.788334, -122.40873 37.789146, -122.40875 37.78927, -122.40891 37.790073, -122.408936 37.790207, -122.408966 37.79035, -122.408966 37.79036, -122.408966 37.79036, -122.40578 37.790752, -122.40589 37.79129, -122.40575 37.791466, -122.40584 37.79154, -122.405846 37.791546, -122.40596 37.791626, -122.40608 37.792236, -122.40588 37.792477, -122.406166 37.792625, -122.40629 37.793213, -122.4061 37.793392, -122.40635 37.793476, -122.40646 37.794044, -122.40629 37.794254, -122.40654 37.794403, -122.406654 37.794952, -122.406364 37.79529, -122.406166 37.79532, -122.406166 37.79532, -122.40608 37.79526, -122.406075 37.79525, -122.40605 37.79524, -122.40605 37.79524, -122.406044 37.795254, -122.40603 37.795265, -122.40597 37.79535, -122.40513 37.795456, -122.40526 37.796158, -122.405266 37.796238, -122.40527 37.796257, -122.40452 37.796356, -122.40436 37.796375, -122.40365 37.796467, -122.40351 37.79644, -122.40328 37.796623, -122.40211 37.796757, -122.40211 37.796757, -122.40183 37.796577, -122.40183 37.796577, -122.401695 37.796833, -122.40095 37.796925, -122.40095 37.796925, -122.40068 37.79674, -122.40068 37.79674, -122.4005 37.796963, -122.399826 37.79704, -122.399826 37.79704, -122.39944 37.796936, -122.39944 37.796936, -122.399376 37.79701, -122.39937 37.79702, -122.39926 37.79714, -122.39865 37.79722, -122.39865 37.79722, -122.3983 37.797096, -122.3983 37.797096, -122.39818 37.79727, -122.396965 37.79741, -122.396965 37.79741)))"
"-",,"35.0","Excelsior","7","MULTIPOLYGON (((-122.438194 37.716213, -122.43955 37.714252, -122.44098 37.714924, -122.443245 37.71257, -122.44515 37.71385, -122.4453 37.713898, -122.44258 37.71667, -122.438965 37.72036, -122.4379 37.72322, -122.437325 37.72417, -122.4364 37.72433, -122.43631 37.724438, -122.43625 37.724503, -122.43582 37.724987, -122.43575 37.725063, -122.435326 37.72555, -122.43526 37.725628, -122.435234 37.725655, -122.43483 37.726112, -122.43476 37.72619, -122.43413 37.726902, -122.43406 37.72698, -122.43363 37.727467, -122.43356 37.727543, -122.43313 37.72803, -122.43307 37.728107, -122.432365 37.728893, -122.431625 37.72853, -122.43146 37.728443, -122.430786 37.728115, -122.43919 37.716908, -122.438194 37.716213)))"
"Pilot",,"5.0","Fillmore","31","MULTIPOLYGON (((-122.432106 37.789867, -122.43158 37.78744, -122.42836 37.78788, -122.42777 37.784843, -122.42807 37.78481, -122.42958 37.784622, -122.42964 37.784615, -122.43095 37.784454, -122.43094 37.784405, -122.429825 37.778778, -122.43361 37.77832, -122.434715 37.783924, -122.434784 37.7843, -122.4349 37.784855, -122.43492 37.78499, -122.4364 37.792492, -122.43269 37.793003, -122.43223 37.790405, -122.43187 37.790222, -122.432106 37.789867)))"
"Pilot",,"6.0","Fisherman's Wharf","30","MULTIPOLYGON (((-122.41263 37.808514, -122.412476 37.807777, -122.409874 37.808113, -122.409195 37.807983, -122.40901 37.807217, -122.40901 37.807217, -122.40898 37.807083, -122.40897 37.80705, -122.40743 37.80722, -122.4072 37.806156, -122.41163 37.80563, -122.41348 37.805332, -122.41362 37.80531, -122.41365 37.805305, -122.41501 37.805237, -122.4147 37.80367, -122.41538 37.80358, -122.41864 37.80583, -122.42389 37.80517, -122.424126 37.806408, -122.420815 37.80681, -122.42098 37.80749, -122.42099 37.807526, -122.42099 37.807526, -122.42086 37.80754, -122.42085 37.807537, -122.420784 37.80749, -122.41914 37.807697, -122.41914 37.807697, -122.419014 37.807713, -122.417496 37.807903, -122.41736 37.807922, -122.415855 37.80811, -122.41572 37.80813, -122.414215 37.808315, -122.41408 37.808334, -122.41263 37.808514)))"
"-",,"51.0","Ft Mason","41","MULTIPOLYGON (((-122.43288 37.809574, -122.426544 37.81007, -122.42435 37.80755, -122.424126 37.806408, -122.42607 37.806255, -122.4257 37.80433, -122.43138 37.803574, -122.43162 37.805244, -122.43288 37.809574)))"
"-",,"32.0","Glen Park","48","MULTIPOLYGON (((-122.43241 37.7348, -122.4323 37.73251, -122.43651 37.73367, -122.43658 37.73361, -122.43584 37.735195, -122.43377 37.734955, -122.43367 37.734943, -122.43241 37.7348)))"
"-",,"48.0","Golden Gate Park","26","MULTIPOLYGON (((-122.45454 37.77483, -122.453964 37.772186, -122.44085 37.773758, -122.44064 37.772633, -122.45379 37.77088, -122.453804 37.77088, -122.453674 37.770283, -122.45353 37.76966, -122.453545 37.769657, -122.45393 37.7696, -122.45378 37.768433, -122.4535 37.76846, -122.4535 37.76846, -122.45331 37.76848, -122.45329 37.768482, -122.45283 37.76616, -122.45475 37.76583, -122.457085 37.76567, -122.4589 37.766064, -122.465294 37.765762, -122.46543 37.76576, -122.466354 37.765713, -122.4665 37.76571, -122.46743 37.765663, -122.46757 37.765656, -122.478226 37.765156, -122.478386 37.76515, -122.47931 37.765106, -122.47945 37.7651, -122.480385 37.765053, -122.48052 37.76505, -122.48145 37.765003, -122.48159 37.764996, -122.48253 37.764954, -122.482666 37.764946, -122.4836 37.764904, -122.483734 37.764896, -122.48467 37.76485, -122.48481 37.764847, -122.485725 37.7648, -122.48589 37.764793, -122.48646 37.764767, -122.510506 37.763645, -122.51125 37.76797, -122.510994 37.771435, -122.510994 37.77147, -122.51099 37.771435, -122.51038 37.77146, -122.471275 37.77328, -122.46589 37.77354, -122.45864 37.774376, -122.45838 37.774406, -122.45454 37.77483)))"
"-",,"23.0","Haight-Cole Valley","5","MULTIPOLYGON (((-122.449844 37.768917, -122.44922 37.76595, -122.449196 37.765842, -122.44902 37.765015, -122.449 37.76491, -122.44893 37.76459, -122.45014 37.764446, -122.4511 37.768692, -122.451645 37.76864, -122.45178 37.768627, -122.45329 37.768482, -122.45331 37.76848, -122.4535 37.76846, -122.4535 37.76846, -122.45378 37.768433, -122.45393 37.7696, -122.453545 37.769657, -122.45353 37.76966, -122.452034 37.769867, -122.451904 37.769886, -122.450386 37.770092, -122.45026 37.77011, -122.44875 37.77032, -122.44862 37.770336, -122.44711 37.770546, -122.446976 37.770565, -122.44555 37.77076, -122.44536 37.770786, -122.4451 37.770824, -122.445015 37.770313, -122.445 37.77019, -122.44489 37.76954, -122.446724 37.76931, -122.44685 37.76929, -122.44837 37.769104, -122.4485 37.769085, -122.44943 37.76897, -122.44957 37.76895, -122.449844 37.768917)))"
"Control",,"9.0","Inner Richmond","49","MULTIPOLYGON (((-122.459 37.779037, -122.471794 37.778515, -122.47218 37.784664, -122.46671 37.784954, -122.45894 37.785965, -122.45864 37.78141, -122.45862 37.78114, -122.45849 37.77906, -122.45895 37.77904, -122.459 37.779037)))"
"-",,"24.0","Inner Sunset","17","MULTIPOLYGON (((-122.4589 37.766064, -122.457085 37.76567, -122.45475 37.76583, -122.454506 37.764347, -122.45448 37.76421, -122.454445 37.763985, -122.46026 37.762062, -122.4602 37.76004, -122.46208 37.760025, -122.462234 37.76192, -122.486046 37.76098, -122.48646 37.764767, -122.48641 37.764812, -122.4859 37.764835, -122.485725 37.764843, -122.48481 37.764885, -122.48467 37.76489, -122.48374 37.764935, -122.483604 37.76494, -122.482666 37.76498, -122.48253 37.764988, -122.4816 37.76503, -122.48145 37.765038, -122.48052 37.76508, -122.480385 37.765087, -122.479454 37.76513, -122.47932 37.765133, -122.478386 37.765175, -122.47823 37.765182, -122.46757 37.76567, -122.46743 37.765675, -122.4665 37.765717, -122.466354 37.765724, -122.46543 37.765766, -122.465294 37.765774, -122.4589 37.766064)))"
"-",,"19.0","Laurel Hts North","45","MULTIPOLYGON (((-122.44959 37.785908, -122.453384 37.785473, -122.45712 37.785645, -122.45735 37.787174, -122.457405 37.78721, -122.44528 37.788765, -122.44491 37.78676, -122.44654 37.78646, -122.44665 37.78644, -122.44959 37.785908)))"
